Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
BuildSupply,Enterprise Resource Planning (ERP),Series A,Gurgaon,India’s most advanced ERP system for the real estate,3000000.0,2018,Inflection Point Ventures,Technology & IT
Fusion Microfinance,Banking,Series E,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,3000000.0,2018,Inflection Point Ventures,Finance
Any time Doctor,Software,Angel,Chennai,Anytime Doctor is a Software company.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Go Payments,Information Services,Corporate Round,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,3000000.0,2018,Inflection Point Ventures,Others
Guiddoo World,Audio,Seed,Mumbai,We build In-Destination Experiences!,800000.0,2018,Inflection Point Ventures,Others
ION Energy,Energy,Seed,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,1041000.0,2018,Inflection Point Ventures,Energy & Environmental
UnoTag,Artificial Intelligence,Pre-Seed,Bangalore,SaaS to verify counterfeit,100000.0,2018,Inflection Point Ventures,Technology & IT
CivilCops,Government,Pre-Seed,Gurgaon,Gov-Tech,100000.0,2018,Inflection Point Ventures,Others
Rockmetric,Information Technology,Grant,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",3000000.0,2018,Inflection Point Ventures,Technology & IT
Classworks India,Education,Grant,Chennai,"Saas, Web App, Mobile App, School Education",3000000.0,2018,Inflection Point Ventures,Education
Snapmint,Consumer Lending,Seed,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",3000000.0,2018,Inflection Point Ventures,Finance
artbandhu,Digital Media,Pre-Seed,Bangalore,Ai platform for Art and Creative Community,15000.0,2018,Inflection Point Ventures,Technology & IT
Survaider,Business Intelligence,Seed,Bengaluru,Stethoscope for customer feedback !,500000.0,2018,Inflection Point Ventures,Others
Credy,Credit,Seed,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0,2018,Inflection Point Ventures,Finance
iChamp,E-Learning,Seed,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0,2018,Inflection Point Ventures,Education
Qandle,Software,Seed,Gurgaon,A cloud-based HR management and employee engagement platform.,1200000.0,2018,Inflection Point Ventures,Technology & IT
Avishkaar Box,Children,Seed,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",3000000.0,2018,Inflection Point Ventures,Parenting & Child Care
Gegadyne Energy,Automotive,Angel,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,3000000.0,2018,Inflection Point Ventures,Transport
HyperXchange,E-Commerce,Series A,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Deftouch,FinTech,Seed,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,3000000.0,2018,Inflection Point Ventures,Finance
Doodhwala,Food Delivery,Seed,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018,Inflection Point Ventures,Food & Beverage
DronaHQ,Mobile,Angel,Mumbai,DronaHQ is an enterprise mobile engagement platform.,500000.0,2018,Inflection Point Ventures,Others
FastFox,Rental,Series A,Gurgaon,FastFox: Market Network for Home Rentals (India),3000000.0,2018,Inflection Point Ventures,Others
BuyForexOnline,Travel,Series A,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0,2018,Inflection Point Ventures,Travel & Hospitality
Colive.in,Consumer,Seed,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018,Inflection Point Ventures,Others
Agricxlab Private Limited,B2B,Seed,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018,Inflection Point Ventures,Others
Corefactors,FinTech,Seed,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",3000000.0,2018,Inflection Point Ventures,Finance
Fincash.com,Wealth Management,Seed,Mumbai,A startup in the personal finance space in India .,150000.0,2018,Inflection Point Ventures,Finance
Pandorum Technologies,Biotechnology,Series A,Bengaluru,Bengaluru based biotech startup.,3600000.0,2018,Inflection Point Ventures,Health & Medical
Shirsa Labs,Education,Seed,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018,Inflection Point Ventures,Education
PetSutra,Veterinary,Seed,Gurgaon,Gurugram-based Online petcare platform.,3000000.0,2018,Inflection Point Ventures,Others
Awaaz De,Internet,Angel,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,3000000.0,2018,Inflection Point Ventures,Others
PinkBlue,Health Care,Seed,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018,Inflection Point Ventures,Health & Medical
Eduvanz,Finance,Angel,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018,Inflection Point Ventures,Finance
Rupeek,Financial Services,Series A,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018,Inflection Point Ventures,Finance
